"Date","Open","High","Low","Close","Volume","Adjusted"
2006-01-02,310.010009765625,311.410003662109,310.010009765625,311.190002441406,0,311.190002441406
2006-01-03,311.089996337891,314.320007324219,311.089996337891,313.040008544922,0,313.040008544922
2006-01-04,313.179992675781,316.140014648438,313.179992675781,316.140014648438,0,316.140014648438
2006-01-05,315.890014648438,315.950012207031,314.880004882812,315.040008544922,0,315.040008544922
2006-01-06,314.929992675781,317.100006103516,314.929992675781,317.100006103516,0,317.100006103516
2006-01-09,317.390014648438,318.570007324219,317.390014648438,317.709991455078,0,317.709991455078
2006-01-10,317.850006103516,317.850006103516,315.459991455078,315.700012207031,0,315.700012207031
2006-01-11,315.700012207031,317.549987792969,315.700012207031,317.549987792969,0,317.549987792969
2006-01-12,317.459991455078,318.850006103516,317.220001220703,318.679992675781,0,318.679992675781
2006-01-13,318.570007324219,318.570007324219,316,316.869995117188,0,316.869995117188
2006-01-16,316.549987792969,317.660003662109,316.149993896484,317.570007324219,0,317.570007324219
2006-01-17,317.399993896484,317.399993896484,315.140014648438,315.230010986328,0,315.230010986328
2006-01-18,315.109985351562,315.109985351562,310.880004882812,312.510009765625,0,312.510009765625
2006-01-19,312.350006103516,314.760009765625,312.350006103516,314.350006103516,0,314.350006103516
2006-01-20,314.429992675781,315.989990234375,312.459991455078,312.459991455078,0,312.459991455078
2006-01-23,311.950012207031,311.950012207031,309.290008544922,311.700012207031,0,311.700012207031
2006-01-24,311.619995117188,312.399993896484,310.640014648438,311,0,311
2006-01-25,310.940002441406,314.489990234375,310.940002441406,314.489990234375,0,314.489990234375
2006-01-26,314.290008544922,317.730010986328,314.290008544922,317.540008544922,0,317.540008544922
2006-01-27,318.040008544922,321.369995117188,318.040008544922,321.220001220703,0,321.220001220703
2006-01-30,321.049987792969,321.549987792969,320.470001220703,321.070007324219,0,321.070007324219
2006-01-31,321.049987792969,322.489990234375,320.239990234375,321.040008544922,0,321.040008544922
2006-02-01,321.079986572266,324.640014648438,320.630004882812,324.480010986328,0,324.480010986328
2006-02-02,324.489990234375,325.529998779297,321.559997558594,321.559997558594,0,321.559997558594
2006-02-03,321.730010986328,322.769989013672,320.579986572266,321.769989013672,0,321.769989013672
2006-02-06,321.730010986328,323.399993896484,321.649993896484,322.130004882812,0,322.130004882812
2006-02-07,322.100006103516,322.859985351562,320.179992675781,321.100006103516,0,321.100006103516
2006-02-08,321.049987792969,321.230010986328,318.059997558594,320.559997558594,0,320.559997558594
2006-02-09,320.489990234375,324.299987792969,320.489990234375,324.299987792969,0,324.299987792969
2006-02-10,324.420013427734,324.839996337891,322.880004882812,323.089996337891,0,323.089996337891
2006-02-13,323.070007324219,324.700012207031,322.859985351562,324.700012207031,0,324.700012207031
2006-02-14,324.820007324219,326.089996337891,322.820007324219,324.119995117188,0,324.119995117188
2006-02-15,324.140014648438,325.390014648438,323.589996337891,324.510009765625,0,324.510009765625
2006-02-16,324.440002441406,326.339996337891,324.410003662109,326.339996337891,0,326.339996337891
2006-02-17,326.519989013672,327.869995117188,326.220001220703,327.309997558594,0,327.309997558594
2006-02-20,327.25,328.220001220703,326.549987792969,328.079986572266,0,328.079986572266
2006-02-21,328.290008544922,330.429992675781,328.290008544922,329.179992675781,0,329.179992675781
2006-02-22,329.079986572266,331.049987792969,328.470001220703,331.049987792969,0,331.049987792969
2006-02-23,331.200012207031,331.829986572266,329.700012207031,330.450012207031,0,330.450012207031
2006-02-24,330.730010986328,331.559997558594,330.559997558594,331.489990234375,0,331.489990234375
2006-02-27,331.489990234375,332.5,331.350006103516,332.480010986328,0,332.480010986328
2006-02-28,332.440002441406,332.440002441406,327.829986572266,327.880004882812,0,327.880004882812
2006-03-01,328,330.739990234375,328,330.739990234375,0,330.739990234375
2006-03-02,330.630004882812,331.989990234375,326.640014648438,327.75,0,327.75
2006-03-03,327.850006103516,329.25,325.940002441406,327.589996337891,0,327.589996337891
2006-03-06,327.809997558594,330.470001220703,327.809997558594,329.410003662109,0,329.410003662109
2006-03-07,329.359985351562,329.359985351562,326.019989013672,327.559997558594,0,327.559997558594
2006-03-08,327.589996337891,327.720001220703,323.670013427734,324.920013427734,0,324.920013427734
2006-03-09,325.309997558594,327.589996337891,325.309997558594,327.5,0,327.5
2006-03-10,327.170013427734,330.100006103516,326.459991455078,330.100006103516,0,330.100006103516
2006-03-13,329.790008544922,332.799987792969,329.790008544922,332.609985351562,0,332.609985351562
2006-03-14,332.429992675781,333.329986572266,331.760009765625,333.260009765625,0,333.260009765625
2006-03-15,333.230010986328,334.670013427734,333.230010986328,334,0,334
2006-03-16,334.239990234375,334.450012207031,333.100006103516,334.160003662109,0,334.160003662109
2006-03-17,334.130004882812,336.570007324219,333.859985351562,334.410003662109,0,334.410003662109
2006-03-20,334.660003662109,336.859985351562,334.660003662109,335.130004882812,0,335.130004882812
2006-03-21,335.179992675781,335.480010986328,333.130004882812,335.480010986328,0,335.480010986328
2006-03-22,335.399993896484,336.660003662109,334.829986572266,336.440002441406,0,336.440002441406
2006-03-23,336.670013427734,337.350006103516,335.369995117188,336.170013427734,0,336.170013427734
2006-03-24,336.239990234375,337.950012207031,336.239990234375,337.859985351562,0,337.859985351562
2006-03-27,338.010009765625,338.109985351562,335.230010986328,335.230010986328,0,335.230010986328
2006-03-28,335.390014648438,336.269989013672,332.779998779297,333.220001220703,0,333.220001220703
2006-03-29,333.399993896484,334.609985351562,332.720001220703,333.980010986328,0,333.980010986328
2006-03-30,334.049987792969,337.140014648438,334.049987792969,336.640014648438,0,336.640014648438
2006-03-31,336.359985351562,336.359985351562,334.25,334.440002441406,0,334.440002441406
2006-04-03,334.929992675781,337.260009765625,334.929992675781,337.200012207031,0,337.200012207031
2006-04-04,336.980010986328,336.980010986328,334.950012207031,335.549987792969,0,335.549987792969
2006-04-05,335.839996337891,337.040008544922,334.649993896484,336.75,0,336.75
2006-04-06,336.989990234375,337.730010986328,336.989990234375,337.540008544922,0,337.540008544922
2006-04-07,337.769989013672,338.820007324219,335.839996337891,336.019989013672,0,336.019989013672
2006-04-10,336.230010986328,337.649993896484,335.920013427734,337.649993896484,0,337.649993896484
2006-04-11,337.390014648438,337.880004882812,333.350006103516,333.739990234375,0,333.739990234375
2006-04-12,333.679992675781,333.839996337891,331.549987792969,333.079986572266,0,333.079986572266
2006-04-13,333.320007324219,334.510009765625,332.649993896484,334.359985351562,0,334.359985351562
2006-04-14,NA,NA,NA,NA,NA,NA
2006-04-17,NA,NA,NA,NA,NA,NA
2006-04-18,334.220001220703,334.480010986328,332.959991455078,334.040008544922,0,334.040008544922
2006-04-19,334.279998779297,337.880004882812,334.279998779297,337.880004882812,0,337.880004882812
2006-04-20,337.769989013672,340,337.769989013672,338.720001220703,0,338.720001220703
2006-04-21,339.029998779297,341.130004882812,339.029998779297,341.100006103516,0,341.100006103516
2006-04-24,341.010009765625,341.010009765625,339.299987792969,339.299987792969,0,339.299987792969
2006-04-25,339.459991455078,341.149993896484,338.709991455078,339.059997558594,0,339.059997558594
2006-04-26,338.970001220703,340.149993896484,338.970001220703,339.700012207031,0,339.700012207031
2006-04-27,339.5,339.579986572266,335.510009765625,337.839996337891,0,337.839996337891
2006-04-28,337.809997558594,337.809997558594,335.959991455078,336.480010986328,0,336.480010986328
2006-05-01,NA,NA,NA,NA,NA,NA
2006-05-02,336.970001220703,340.070007324219,336.790008544922,339.890014648438,0,339.890014648438
2006-05-03,340.369995117188,341.309997558594,337.119995117188,337.200012207031,0,337.200012207031
2006-05-04,336.959991455078,338.869995117188,336.160003662109,338.760009765625,0,338.760009765625
2006-05-05,339.029998779297,342.109985351562,338.920013427734,342.109985351562,0,342.109985351562
2006-05-08,342.579986572266,344.130004882812,342.119995117188,342.369995117188,0,342.369995117188
2006-05-09,342.619995117188,343.839996337891,341.75,343.839996337891,0,343.839996337891
2006-05-10,343.679992675781,343.799987792969,341.880004882812,341.940002441406,0,341.940002441406
2006-05-11,342.019989013672,344.390014648438,340.730010986328,340.779998779297,0,340.779998779297
2006-05-12,340.359985351562,340.359985351562,333.679992675781,333.679992675781,0,333.679992675781
2006-05-15,333.309997558594,333.309997558594,328.799987792969,328.799987792969,0,328.799987792969
2006-05-16,328.950012207031,330.75,327.079986572266,329.290008544922,0,329.290008544922
2006-05-17,329.549987792969,329.549987792969,320.079986572266,320.079986572266,0,320.079986572266
2006-05-18,320.220001220703,321.75,315.989990234375,318.630004882812,0,318.630004882812
2006-05-19,318.459991455078,320.429992675781,317.690002441406,318.769989013672,0,318.769989013672
2006-05-22,318.380004882812,318.380004882812,308.820007324219,309.619995117188,0,309.619995117188
2006-05-23,309.709991455078,318.679992675781,309.709991455078,317.510009765625,0,317.510009765625
2006-05-24,317.410003662109,317.410003662109,311.549987792969,313.059997558594,0,313.059997558594
2006-05-25,313.309997558594,316.910003662109,311.859985351562,316.910003662109,0,316.910003662109
2006-05-26,317.399993896484,323.170013427734,317.399993896484,323.170013427734,0,323.170013427734
2006-05-29,323.149993896484,323.390014648438,322.640014648438,322.910003662109,0,322.910003662109
2006-05-30,323.040008544922,323.140014648438,315.619995117188,315.850006103516,0,315.850006103516
2006-05-31,315.149993896484,319.459991455078,311.700012207031,318.859985351562,0,318.859985351562
2006-06-01,318.950012207031,320.359985351562,316.339996337891,320.100006103516,0,320.100006103516
2006-06-02,320.480010986328,323.670013427734,320.040008544922,320.959991455078,0,320.959991455078
2006-06-05,320.890014648438,321.290008544922,318.420013427734,318.940002441406,0,318.940002441406
2006-06-06,318.799987792969,318.799987792969,311.929992675781,312.570007324219,0,312.570007324219
2006-06-07,312.839996337891,314.989990234375,310.950012207031,314.260009765625,0,314.260009765625
2006-06-08,313.230010986328,313.230010986328,305.839996337891,305.839996337891,0,305.839996337891
2006-06-09,306.609985351562,311.730010986328,306.609985351562,311.010009765625,0,311.010009765625
2006-06-12,311.100006103516,311.670013427734,308.269989013672,308.549987792969,0,308.549987792969
